WorkgroupSize	Runtime	StandardDeviation
775	1499.53	92.07210000000001
776	1490.24	96.3312
777	1534.54	96.773
778	1514.73	79.1219
779	1511.1	93.741
780	1480.77	93.35850000000001
781	1537.13	111.378
782	1508.18	133.288
783	1528.94	121.466
784	1470.19	111.432
785	1497.45	112.011
786	1498.72	126.147
787	1522.47	126.407
788	1495.05	112.384
789	1510.9	124.331
790	1480.03	98.1553
791	1534.28	121.509
792	1512.76	127.828
793	1513.59	122.084
794	1504.85	114.077
795	1554.17	140.075
796	1520.79	145.798
797	1503.76	130.997
798	1465.42	117.984
799	1499.84	103.895
800	1385.83	137.811
801	1494.25	107.072
802	1494.29	101.419
803	1511.79	76.50579999999999
804	1485.68	134.902
805	1503.51	105.129
806	1491.48	132.071
807	1502.52	99.59829999999999
808	1454.48	115.23
809	1460.01	91.36109999999999
810	1514.79	144.474
811	1528.76	165.797
812	1487.96	106.535
813	1488.85	114.56
814	1487.73	147.142
815	1459.67	92.6514
816	1428.34	116.503
817	1481.93	121.002
818	1484.4	106.758
819	1508.86	133.445
820	1501.56	132.684
821	1489.64	108.273
822	1474.11	131.066
823	1490.68	128.056
824	1451.74	113.387
825	1471.7	118.943
826	1479.24	96.7353
827	1485.85	118.099
828	1460.54	125.243
829	1470.39	117.037
830	1448.06	104.375
831	1475.64	122.69
832	1378.4	111.378
833	1485.06	119.158
834	1483.64	127.77
835	1505.88	146.702
836	1437.78	113.94
837	1478.94	122.689
838	1476.76	133.839
839	1464.76	132.27
840	1433.66	123.941
841	1092.68	418.133
842	682.595	33.5163
843	1244.11	381.44
844	1446.82	125.641
845	1455.26	79.03749999999999
846	1447.47	114.033
847	1434.43	102.627
848	1415.28	112.481
849	1464.11	111.885
850	1438.52	75.3338
851	1453.05	133.134
852	1440.51	100.347
853	1463.6	90.89660000000001
854	1444.36	100.683
855	1441.19	79.5594
856	1422.14	123.256
857	1468.8	109.735
858	1434.18	112.265
859	1446.29	118.394
860	1411.29	92.0153
861	1455.79	133.391
862	1435.73	99.4315
863	1456.6	126.377
864	1339.49	108.809
865	1442.22	140.641
866	1415.56	117.425
867	1430.96	121.845
868	1400.82	126.728
869	1445.4	155.663
