NumberOfElements	Complex_Access	Complex_StdDev	Complex_StdErr	Cached_Access	Cached_StdDev	Cached_StdErr	Continuous_Access	Continuous_StdDev	Continuous_StdErr	Constant_Access	Constant_StdDev
1.4549e+07	48232.2	70.8058	10.0134	3666.26	0.83446	0.11801	5567.17	24.4074	3.45172	2101.86	113.786	16.0917
1.46801e+07	48674.6	61.7845	8.73765	3698.91	0.838022	0.118514	5593.84	10.4476	1.47751	2102.54	118.763	16.7956
1.48111e+07	49098.1	63.0623	8.91835	3731.72	0.779152	0.110189	5440.82	7.45079	1.0537	2157.58	81.9412	11.5882
1.49422e+07	49525.8	73.0418	10.3297	3764.51	1.13276	0.160196	5707.78	29.8425	4.22036	2143.08	133.156	18.831
1.50733e+07	49985.3	61.6864	8.72377	3797.48	0.763934	0.108037	5530.03	7.93942	1.1228	2142.84	156.889	22.1875
1.52044e+07	50454.7	60.1114	8.50103	3562.87	4.85542	0.68666	5818.95	32.7716	4.6346	2218.97	85.3796	12.0745
1.53354e+07	50812.9	63.0532	8.91707	3849.41	0.73205	0.103528	5843.83	14.9067	2.10812	2217.43	115.498	16.3339
1.54665e+07	51261.6	72.8701	10.3054	3629.08	1.3048	0.184527	5674.65	20.46	2.89348	2217.9	129.783	18.354
1.55976e+07	51748.7	92.7618	13.1185	3659.35	0.967104	0.136769	5722.38	9.85382	1.39354	2270.08	78.0399	11.0365
1.57286e+07	52131.2	69.7921	9.8701	3689.82	1.13249	0.160159	6029.39	29.2285	4.13353	2282.68	114.231	16.1548
1.58597e+07	52561.9	71.0158	10.0432	3980.41	0.49226	0.069616	5817.37	13.2	1.86675	2288.06	108.427	15.3339
1.59908e+07	53058.6	80.6387	11.404	3751.31	1.03203	0.145951	5865.73	7.99995	1.13136	2337.65	83.8032	11.8516
1.61219e+07	53450.8	93.4681	13.2184	4045.61	0.755352	0.106823	5912.07	6.91688	0.978195	2310.13	127.648	18.0521
1.62529e+07	53869	85.1316	12.0394	4081.47	6.12748	0.866557	6210.68	36.5816	5.17342	2362.29	92.9952	13.1515
1.6384e+07	54351.2	94.6861	13.3906	3832.58	0.810713	0.114652	6012.06	8.26025	1.16818	2387.08	110.112	15.5722
1.65151e+07	54786.4	78.1714	11.0551	4158.63	0.930327	0.131568	6337.55	13.3656	1.89019	2395.93	105.432	14.9103
1.66461e+07	55227.1	81.5387	11.5313	4189.32	5.78378	0.81795	6371.6	26.763	3.78487	2418.44	75.5933	10.6905
1.67772e+07	55578.3	77.0183	10.892	2781.28	16.9902	2.40278	4707.26	33.3255	4.71294	2371.99	174.929	24.7387
